final_t_O1,final_t_O2,final_t_O3,final_dt_O2_O1,final_dt_O3_O1,final_dt_O3_O2,num_horizon_O2_O1,num_horizon_O3_O1,num_horizon_O3_O2,runtime_sec,noise_level,run_index
74.0994505090968,12674.443840127089,40071.8975275757,12600.344389617992,39997.798077066596,27397.453687448608,4,4,4,0.05006051063537598,0.040183182378760035,59
74.09949098920077,12674.443702004166,40071.897612840825,12600.344211014964,39997.79812185162,27397.45391083666,4,4,4,0.05089163780212402,0.028225314537666357,60
74.10792538176044,12674.443425455629,40071.89783363488,12600.335500073868,39997.78990825312,27397.454408179252,4,4,4,0.05069875717163086,0.054833521110589825,61
74.09698380939136,12674.44310880281,40071.89759601023,12600.346124993419,39997.800612200845,27397.454487207422,4,4,4,0.05128645896911621,0.08641087228191026,62
74.09554434010913,12674.443461183462,40071.89743373312,12600.347916843353,39997.801889393006,27397.453972549654,4,4,4,0.0488436222076416,0.02581432048424538,63
74.09534134836743,12674.443299034881,40071.89751392624,12600.347957686514,39997.802172577874,27397.45421489136,4,4,4,0.049706459045410156,0.07401340752527105,64
74.09631221407697,12674.44352958008,40071.897425042334,12600.347217366003,39997.80111282826,27397.453895462255,4,4,4,0.048087120056152344,0.0190630619817492,65
74.09497741777764,12674.443969613756,40071.89736520075,12600.348992195979,39997.80238778297,27397.453395586992,4,4,4,0.04949951171875,0.08724032933279735,66
74.09819800206185,12674.443407192617,40071.89753177472,12600.345209190555,39997.79933377266,27397.454124582102,4,4,4,0.04903578758239746,0.020197861524954664,67
74.10387837148993,12674.443906033215,40071.898066184454,12600.340027661725,39997.794187812964,27397.45416015124,4,4,4,0.0494379997253418,0.058315408842372976,68
74.10265589348688,12674.443640719572,40071.89762631585,12600.340984826085,39997.79497042236,27397.453985596276,4,4,4,0.04818320274353027,0.04082027915515786,69
74.09872183978045,12674.443843551948,40071.897704378214,12600.345121712167,39997.798982538436,27397.453860826266,4,4,4,0.049382925033569336,0.029830557370107924,70
74.10208854195314,12674.443511993963,40071.89789239835,12600.34142345201,39997.795803856396,27397.45438040439,4,4,4,0.048917531967163086,0.06333422642325813,71
74.09787179968878,12674.443982336219,40071.8980007993,12600.34611053653,39997.80012899961,27397.454018463082,4,4,4,0.05290412902832031,0.0942332817304834,72
74.0946957533172,12674.443531675144,40071.89747717771,12600.348835921826,39997.80278142439,27397.453945502562,4,4,4,0.05089879035949707,0.041636534953258114,73
74.09435795936663,12674.443408724026,40071.89750872925,12600.34905076466,39997.80315076988,27397.454100005223,4,4,4,0.05060243606567383,0.02808305523243724,74
74.10192353738476,12674.443589525486,40071.89778099148,12600.341665988102,39997.7958574541,27397.454191465993,4,4,4,0.05094289779663086,0.05359228740319967,75
